feature,importance
Case_Age,0.0414535311276538
Previous_Total_Due,0.03994663180778339
Account_Age,0.03969377459818302
PAttempts,0.032574260435283456
Existing_Account_0,0.030964306674852973
total_contact_attempts,0.026287618981678917
Previous_Account_0,0.022330448171171562
never_paid_0,0.02098911198802685
Recency_capped,0.020844563545819483
Current_per,0.018867790275131396
never_paid_1,0.015934958059349042
StrikeDates1_StrikeDate1,0.015474817765853096
PContacts,0.015235394557043118
PropensistyToRol,0.01474190692414219
Current_Due,0.014055774419528606
CellNumber1_Score,0.013158249159816242
Age,0.01313846365317346
Contact_Score,0.012901234884616397
Instalment,0.012900902897320293
Xdays_Due,0.011922939757607205
